Image_No,Item_description_english,Item_description_german,"food_num","processing_num","taste_num","category_num",protein_100g,fat_100g,carbs_100g,kcal_100g,no_items_image,gramms_total,protein_total,fat_total,carbs_total,Kcal_total,red,green,blue,object size,intensity,sd,complexity,norm. Complexity,medianpower,Recognizability,Familiarity,Valence,Arousal,Complexity,Palatability,Craving,Recognizability_Omnivor_Male,Recognizability_Omnivor_Female,Recognizability_Vegetarian_Male,Recognizability_Vegetarian_Female,Familiarity_Omnivor_Male,Familiarity_Omnivor_Female,Familiarity_Vegetarian_Male,Familiarity_Vegetarian_Female,Valence_Omnivor_Male,Valence_Omnivor_Female,Valence_Vegetarian_Male,Valence_Vegetarian_Female,Arousal_Omnivor_Male,Arousal_Omnivor_Female,Arousal_Vegetarian_Male,Arousal_Vegetarian_Female,Complexity_Omnivor_Male,Complexity_Omnivor_Female,Complexity_Vegetarian_Male,Complexity_Vegetarian_Female,Palatability_Omnivor_Male,Palatability_Omnivor_Female,Palatability_Vegetarian_Male,Palatability_Vegetarian_Female,Craving_Omnivor_Male,Craving_Omnivor_Female,Craving_Vegetarian_Male,Craving_Vegetarian_Female,,,
1077,cake baking pan,Kuchenbackform,2,,,25,,,,,,,,,,,0.32377607,0.361603219,0.314620711,0.496103704,90.09455926,56.40685654,0.061777778,0.124525935,15.48600769,86.4,86.6,52.6,19.5,28.2,,,73.6,93.1,100.0,88.9,74.4,93.1,100.0,88.9,48.7,55.5,55.9,51.9,23.2,18.9,12.8,17.1,28.0,29.2,35.7,23.9,,,,,,,,,,,
1078,waffle iron ,Waffeleisen,2,,,25,,,,,,,,,,,0.327122608,0.321672934,0.351204459,0.241111111,45.70477778,42.09868622,0.048962963,0.203072197,16.39526749,98.5,100.0,59.9,35.6,45.0,,,100.0,96.7,100.0,100.0,100.0,100.0,100.0,100.0,60.0,58.4,68.0,61.0,40.3,35.4,39.0,30.7,41.9,46.2,44.8,45.7,,,,,,,,,,,
1079,cereal (packaging),Müsli (Verpackung),2,,,27,,,,,,,,,,,0.43014163,0.28406557,0.2857928,0.312344444,33.83837037,62.05395889,0.115555556,0.369961937,16.91032219,85.3,76.2,46.2,26.7,33.5,,,92.1,77.2,100.0,93.9,70.4,69.8,100.0,90.9,48.7,48.4,50.0,39.5,34.7,25.3,6.0,24.5,30.0,35.6,31.0,32.7,,,,,,,,,,,
1080,shopping bag,Einkaufstüte,2,,,24,,,,,,,,,,,0.804964284,0.096122529,0.098913187,0.274959259,44.8808963,69.19664001,0.01912963,0.069572597,14.53736782,100.0,97.8,45.1,23.2,9.1,,,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,37.6,49.3,37.5,47.6,13.0,30.7,3.3,26.9,8.2,8.2,9.3,12.2,,,,,,,,,,,
1081,stones,Steine,2,,,28,,,,,,,,,,,0.33819667,0.346023266,0.315780064,0.1876,22.15126667,30.10593414,0.021685185,0.115592672,14.52709961,68.9,80.6,38.5,15.1,12.3,,,66.1,63.9,0.0,87.9,75.0,81.5,50.0,88.9,35.6,36.7,48.0,44.8,8.4,13.9,15.5,25.7,8.1,14.9,40.0,10.4,,,,,,,,,,,
1082,Bleach (packaging),Waschzusatz (Verpackung),2,,,24,,,,,,,,,,,0.322718776,0.27835191,0.398929314,0.32312963,29.06595926,77.00652313,0.112722222,0.348845206,17.87937355,88.4,81.0,36.0,13.4,37.1,,,87.5,87.0,100.0,88.9,70.0,80.2,100.0,88.9,31.3,37.2,48.3,34.2,12.1,16.1,13.5,8.2,33.5,35.1,57.2,39.6,,,,,,,,,,,
1083,colored cardboard box,Bunte Papierschachtel,2,,,24,,,,,,,,,,,0.471856043,0.283865852,0.244278105,0.375603704,32.26772222,30.06914139,0.177333333,0.47212882,13.31300926,75.0,81.4,39.1,18.7,24.2,,,78.8,69.0,93.3,75.7,83.7,73.9,93.3,88.3,26.8,42.9,44.7,46.5,15.6,17.8,31.1,20.8,20.2,26.7,40.4,20.6,,,,,,,,,,,
1084,yellow lunch box,Gelbe Brotdose,2,,,24,,,,,,,,,,,0.447061544,0.347404369,0.205534087,0.404166667,28.33628889,45.32455444,0.086518519,0.214066438,15.91417885,92.2,88.3,45.7,22.2,22.4,,,95.1,88.6,100.0,94.4,95.8,85.7,100.0,80.6,41.5,48.6,52.0,45.9,18.9,24.7,36.0,20.6,16.2,27.1,34.5,20.7,,,,,,,,,,,
1085,blue plastic jar,blaue Plastikdose,2,,,24,,,,,,,,,,,0.109049519,0.300645292,0.590305189,0.190733333,40.46835926,34.12192535,0.022240741,0.11660647,14.2409277,32.6,52.4,34.0,12.4,13.4,,,24.3,37.1,0.0,37.0,50.1,53.2,0.0,58.2,35.2,33.4,46.0,32.7,11.5,11.4,86.0,8.8,13.9,13.8,1.0,13.3,,,,,,,,,,,
1086,bucket (grey),Eimer (grau),2,,,24,,,,,,,,,,,0.319987021,0.335825926,0.344187053,0.222059259,33.08382963,26.40420723,0.024851852,0.111915405,14.6541872,99.5,98.4,38.6,8.1,13.7,,,100.0,98.7,100.0,100.0,100.0,98.7,100.0,95.5,37.9,41.1,34.7,36.2,7.3,11.3,5.5,4.1,10.9,13.6,41.0,12.9,,,,,,,,,,,
1087,bag of LEGO figures,LEGO Tüte,2,,,28,,,,,,,,,,,0.377840677,0.31303335,0.309125974,0.218662963,21.80473333,62.05205917,0.097166667,0.444367283,17.47143936,95.6,83.9,44.9,20.5,47.5,,,96.2,95.0,75.0,100.0,84.9,85.9,65.0,83.0,47.8,42.9,50.8,43.4,24.2,14.4,15.2,26.8,43.8,50.1,60.7,45.4,,,,,,,,,,,
1088,packaging of games console,Spielekonsole Verpackung,2,,,28,,,,,,,,,,,0.630622151,0.176518581,0.192859268,0.49282963,78.11552593,42.82733536,0.087962963,0.178485541,14.77896118,90.4,97.4,50.2,30.4,54.2,,,79.2,90.1,100.0,99.3,98.5,95.5,100.0,100.0,51.5,52.8,42.2,45.7,40.8,28.8,28.2,24.0,50.1,53.8,41.7,62.9,,,,,,,,,,,
1089,cardboard bag,Präsenttüte,2,,,24,,,,,,,,,,,0.432461857,0.353066615,0.214471528,0.227162963,16.83050741,29.3371582,0.057685185,0.253937457,15.41687584,90.1,92.9,51.8,28.8,26.7,,,92.5,92.0,77.8,87.3,87.3,98.0,88.9,88.7,41.7,56.9,47.4,51.9,22.3,32.5,40.2,23.8,24.1,27.9,27.9,26.4,,,,,,,,,,,
1090,bag of modeling clay,Tüte Modellierton,2,,,28,,,,,,,,,,,0.448527844,0.306402757,0.245069399,0.364488889,52.81732222,49.97715378,0.107111111,0.293866602,16.41830254,68.5,36.6,36.9,19.2,32.5,,,68.3,68.5,100.0,55.5,23.7,39.4,33.3,46.7,44.4,35.5,37.1,31.5,17.9,15.5,17.2,27.4,25.3,32.4,28.9,41.5,,,,,,,,,,,
1091,flower pots,Blumentöpfe,2,,,24,,,,,,,,,,,0.335448865,0.329246307,0.335304828,0.100681481,10.67697778,60.46364594,0.038888889,0.386256622,16.0860939,73.7,76.3,48.2,21.8,33.5,,,65.6,77.9,100.0,72.2,53.9,76.9,100.0,100.0,47.0,48.8,45.0,48.7,19.5,20.5,38.0,25.4,36.0,31.3,33.0,34.7,,,,,,,,,,,
1092,paper bag,Papiertüte,2,,,24,,,,,,,,,,,0.630445942,0.293861904,0.075692154,0.279681481,36.61814815,33.9822197,0.029851852,0.106735175,13.78309345,100.0,99.9,44.9,11.2,9.1,,,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,47.4,45.2,56.3,35.3,10.1,13.8,6.2,8.9,8.8,11.8,3.0,5.1,,,,,,,,,,,
1093,Yoghurt drink (packaging),Joghurt Getränk (Verpackung),2,,,27,,,,,,,,,,,0.384825237,0.309327614,0.305847148,0.143933333,12.30854815,51.06022263,0.050462963,0.350599557,15.78687668,91.7,79.9,37.3,19.6,26.2,,,86.7,88.2,100.0,100.0,75.0,82.7,87.5,76.8,40.1,40.7,29.9,30.8,23.0,23.1,1.6,17.2,27.6,27.7,19.3,25.0,,,,,,,,,,,
1094,yellow pencil case (triangle),Gelbes Mäppchen (triangel),2,,,28,,,,,,,,,,,0.45694412,0.367599821,0.175456059,0.320296296,20.22991111,21.14507866,0.051092593,0.159516651,14.21758366,97.3,99.3,46.6,16.8,20.3,,,98.9,97.7,100.0,93.4,96.7,100.0,100.0,100.0,44.0,49.2,54.3,39.9,8.9,22.1,4.8,17.8,23.9,23.9,9.0,12.4,,,,,,,,,,,
1095,brown wallet,Braune Geldbörse,2,,,24,,,,,,,,,,,0.43927251,0.29895093,0.26177656,0.443744444,75.57572222,36.62410355,0.051351852,0.115723932,15.87405777,95.2,97.7,47.0,20.9,28.3,,,91.3,94.1,100.0,98.8,92.2,99.2,100.0,98.9,41.9,53.3,45.8,40.7,15.0,26.4,23.3,15.5,23.1,25.4,27.5,38.4,,,,,,,,,,,
1096,car rim,Autofelge,2,,,28,,,,,,,,,,,0.327781935,0.330219415,0.34199865,0.358411111,60.7249037,87.06884003,0.124777778,0.348141489,16.1702919,97.1,97.8,42.1,16.7,39.9,,,100.0,94.2,100.0,98.8,100.0,95.2,100.0,100.0,44.0,38.5,62.0,42.9,24.0,12.5,56.0,6.6,37.4,36.4,68.5,45.0,,,,,,,,,,,
1097,vegetables (packaging),Buttergemüse (Verpackung),2,,,27,,,,,,,,,,,0.333197183,0.415872932,0.250929885,0.63777037,80.77697407,63.15552139,0.185111111,0.290247273,17.01755905,91.7,84.5,45.2,26.6,33.1,,,94.4,86.8,100.0,100.0,89.4,78.9,87.5,97.2,46.1,45.1,52.1,37.2,32.2,23.3,40.3,15.6,27.6,36.1,30.0,34.3,,,,,,,,,,,
1098,paper bag,Papiertüte,2,,,24,,,,,,,,,,,0.401139313,0.328149908,0.270710779,0.196862963,17.82261481,35.83947754,0.034759259,0.176565763,13.81498432,100.0,99.9,39.6,12.2,11.1,,,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,29.7,41.4,38.4,50.9,8.1,15.1,7.3,14.0,5.3,17.8,7.8,6.8,,,,,,,,,,,
1099,tea (packaging),Tee (Verpackung),2,,,27,,,,,,,,,,,0.391843248,0.291412111,0.31674464,0.434388889,50.68664815,71.17267609,0.092814815,0.213667562,16.97699547,99.6,89.5,53.0,29.8,29.8,,,100.0,99.1,100.0,100.0,79.9,88.4,100.0,100.0,47.5,58.7,43.8,50.5,32.4,31.0,30.8,24.5,18.3,30.5,57.3,35.9,,,,,,,,,,,
1100,burger carton,Burger Schachtel,2,,,27,,,,,,,,,,,0.529066014,0.314764085,0.156169901,0.604685185,70.24081852,47.45524597,0.125296296,0.207209139,14.99098206,96.5,69.4,32.7,24.6,24.3,,,100.0,94.2,83.3,99.0,75.2,64.3,83.3,67.8,43.9,34.6,31.5,11.7,37.4,19.9,22.3,15.1,21.7,26.8,25.0,22.7,,,,,,,,,,,
1101,bag of oreos (packaging),Oreos Tüte,2,,,27,,,,,,,,,,,0.225987986,0.305443173,0.468568841,0.240840741,36.04297778,63.01052094,0.074518519,0.309409937,16.32725525,99.4,95.5,52.2,31.4,30.4,,,98.2,100.0,100.0,100.0,91.1,98.7,100.0,94.4,52.4,53.6,57.3,47.9,30.1,32.3,45.0,28.4,32.1,26.7,41.0,33.3,,,,,,,,,,,
1102,pizza carton,Pizzakarton,2,,,27,,,,,,,,,,,0.352998895,0.32977751,0.317223595,0.284807407,17.0802,40.75253296,0.070537037,0.247665739,15.59640789,100.0,100.0,56.5,41.1,23.8,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,53.4,54.8,59.1,48.5,35.7,23.0,51.1,19.6,23.3,30.0,28.4,,,,,,,,,,,
1103,almond drink (packaging),Mandeldrink (Verpackung),2,,,27,,,,,,,,,,,0.318254793,0.330128574,0.351616632,0.203751852,19.06453704,66.60082245,0.061481481,0.30174686,16.75633812,87.4,59.4,45.3,24.2,31.4,,,80.5,85.2,100.0,100.0,57.9,55.2,50.0,72.9,37.4,40.2,56.3,66.2,18.5,21.6,33.5,36.8,34.1,29.6,30.3,31.2,,,,,,,,,,,
1104,bar of chocolate (packaging),Tafel Schokolade (Verpackung),2,,,27,,,,,,,,,,,0.309513325,0.306270697,0.384215978,0.24897037,20.38532963,74.60136414,0.057111111,0.229389188,16.13324165,99.3,95.7,58.9,40.0,30.3,,,97.8,100.0,100.0,100.0,95.6,92.6,100.0,100.0,53.9,61.2,75.5,57.2,37.4,39.4,56.2,40.5,30.4,29.3,27.9,32.7,,,,,,,,,,,
1105,canned ravioli (packaging),Ravioli (Verpackung),2,,,27,,,,,,,,,,,0.576331061,0.300542113,0.123126826,0.381307407,44.91865556,52.03255844,0.137055556,0.359435859,17.12839508,99.9,95.5,32.6,24.7,31.4,,,100.0,99.8,100.0,100.0,100.0,88.4,100.0,100.0,33.2,30.8,41.3,32.3,15.3,21.2,47.8,34.4,28.1,31.7,40.9,31.9,,,,,,,,,,,
1106,red wallet,rote Geldbörse,2,,,24,,,,,,,,,,,0.639611103,0.1592008,0.201188097,0.384274074,65.8561963,32.50188446,0.053592593,0.139464503,14.40573502,62.5,62.8,40.6,16.3,25.8,,,64.0,57.5,50.0,72.9,50.6,58.4,100.0,81.5,37.9,42.9,53.5,37.3,17.9,14.6,39.5,12.7,23.6,25.7,53.0,23.6,,,,,,,,,,,
1107,bag of cat litter,Paket Katzenstreu,2,,,24,,,,,,,,,,,0.273983218,0.328903962,0.397112821,0.375103704,23.21346667,52.27207184,0.12162963,0.324256008,15.87842274,61.6,55.8,34.6,11.4,34.2,,,64.1,68.7,33.3,60.8,49.4,62.9,33.3,61.7,31.6,34.1,34.3,39.1,10.7,13.1,5.0,12.5,33.5,38.2,27.7,30.6,,,,,,,,,,,
1108,gift wrapped in brown paper,Geschenk in braunem Papier,2,,,24,,,,,,,,,,,0.401239654,0.338627913,0.260132432,0.323851852,27.81590741,18.20667458,0.034537037,0.106644556,14.32852745,90.6,92.2,51.9,29.6,20.3,,,93.1,87.2,100.0,94.4,91.4,90.2,100.0,97.7,53.2,51.7,59.5,49.4,28.1,31.3,51.0,24.5,16.0,17.0,31.5,34.2,,,,,,,,,,,
1109,cereal (packaging),Müsli (Verpackung),2,,,27,,,,,,,,,,,0.345795398,0.310816557,0.343388045,0.379414815,45.36476296,67.70922852,0.114648148,0.302170985,17.43370628,91.5,44.3,50.9,22.3,35.8,,,95.3,93.5,75.0,83.7,52.9,49.7,0.0,26.9,53.7,48.2,58.0,48.5,19.1,22.4,1.5,34.9,32.0,40.7,32.0,34.5,,,,,,,,,,,
1110,handkerchiefs,Taschentücher,2,,,24,,,,,,,,,,,0.170935922,0.333178182,0.495885896,0.233551852,26.92685926,80.52646637,0.053314815,0.228278279,15.26844215,78.9,75.6,47.8,14.5,18.9,,,69.2,78.7,100.0,87.5,66.0,73.1,100.0,87.5,45.4,51.2,45.4,44.7,14.1,12.3,35.7,12.2,20.9,18.9,8.0,19.8,,,,,,,,,,,
1111,plastic cow figure,Kuhfigur,2,,,28,,,,,,,,,,,0.423349719,0.310374248,0.266276032,0.277377778,25.93928889,62.87466431,0.075055556,0.270589649,14.89108944,99.5,100.0,55.1,21.4,46.2,,,98.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.7,57.2,48.5,65.8,15.2,21.8,32.3,25.3,36.1,46.3,58.3,57.3,,,,,,,,,,,
1112,hand shovel,Handschaufel,2,,,28,,,,,,,,,,,0.303201444,0.345996873,0.350801682,0.170355556,15.83203704,70.38233948,0.048888889,0.286981477,14.39107704,93.4,97.5,42.7,15.8,13.6,,,89.3,95.6,100.0,91.9,97.6,99.3,100.0,88.9,40.4,45.7,28.0,41.9,9.6,19.0,16.5,18.6,8.4,15.2,13.5,20.2,,,,,,,,,,,
1113,arm float,Schwimmflügel,2,,,28,,,,,,,,,,,0.512127009,0.344225946,0.143647045,0.417340741,36.98517407,29.84029007,0.055888889,0.133916686,13.38855457,87.1,92.8,42.4,16.1,25.5,,,86.3,88.6,73.3,94.2,85.7,98.6,100.0,84.1,40.3,45.0,36.1,43.3,15.7,14.6,31.4,10.8,21.5,28.0,28.9,23.3,,,,,,,,,,,
1114,paper box,Papierschachtel,2,,,24,,,,,,,,,,,0.37040441,0.29942474,0.33017085,0.331311111,35.29647778,54.48957443,0.102074074,0.308091309,16.1413269,95.2,86.5,44.9,23.1,28.0,,,100.0,91.0,100.0,100.0,79.9,82.2,100.0,100.0,47.1,45.9,52.5,39.1,30.5,21.2,42.5,16.9,19.4,30.8,33.0,27.8,,,,,,,,,,,
1115,whole milk (packaging),Vollmilch (Verpackung),2,,,27,,,,,,,,,,,0.446986426,0.249289614,0.30372396,0.140188889,13.79698889,53.80588531,0.039203704,0.279649151,16.42875862,86.2,69.3,43.1,22.1,25.9,,,74.5,92.7,80.0,95.8,63.5,74.1,100.0,57.6,43.7,42.3,43.4,43.1,23.3,20.6,34.5,17.4,21.5,28.3,29.1,27.1,,,,,,,,,,,
1116,contact lenses (packaging),Kontaktlinsen (Verpackung),2,,,24,,,,,,,,,,,0.239081737,0.282704426,0.478213837,0.481411111,51.46548519,71.01333618,0.130944444,0.272001292,15.85314655,64.2,67.2,42.6,15.9,39.8,,,63.4,64.4,50.0,70.9,43.3,78.3,75.0,61.8,38.0,46.6,32.4,42.8,15.5,18.3,17.5,10.4,42.7,41.5,30.6,37.7,,,,,,,,,,,
1117,ice cream scoop,Eisportionierer,2,,,25,,,,,,,,,,,0.335188755,0.340578629,0.324232616,0.255344444,20.68845185,66.7535553,0.056185185,0.220036842,14.03071308,93.4,97.7,51.1,28.0,29.5,,,86.1,91.1,100.0,100.0,100.0,99.8,80.0,100.0,55.6,49.7,61.4,45.9,35.3,28.2,32.2,20.4,26.1,27.8,49.8,26.6,,,,,,,,,,,
1118,ice crem scoop,Eisportionierer,2,,,25,,,,,,,,,,,0.33657145,0.335328448,0.328100102,0.192618519,9.504640741,46.19400024,0.063037037,0.327263638,15.86217499,88.8,92.1,51.5,26.0,34.9,,,89.6,96.4,50.0,77.1,89.2,97.3,50.0,94.0,50.3,53.1,39.3,52.4,25.1,24.5,27.0,31.3,36.1,33.6,18.8,41.5,,,,,,,,,,,
1119,bar of chocolate (packaging),Tafel Schokolade (Verpackung),2,,,27,,,,,,,,,,,0.328080169,0.280860616,0.391059216,0.358085185,43.84221852,47.7923584,0.090314815,0.252216005,16.50850868,86.7,80.3,59.0,42.3,27.0,,,85.0,83.3,100.0,100.0,80.0,73.7,100.0,100.0,59.1,57.7,51.5,63.9,42.1,40.8,42.0,47.9,21.1,30.9,24.0,29.4,,,,,,,,,,,
1120,burger carton,Burger Schachtel,2,,,27,,,,,,,,,,,0.45257524,0.270024856,0.277399904,0.372518519,44.58032222,69.76927948,0.086537037,0.232302645,15.56534767,96.4,64.9,33.9,21.0,21.1,,,94.0,95.7,100.0,100.0,79.0,62.8,50.0,54.7,43.9,41.0,1.0,15.4,30.2,25.6,1.0,5.6,24.7,18.6,9.0,23.4,,,,,,,,,,,
1121,chips bag,Chipstüte,2,,,27,,,,,,,,,,,0.604479052,0.198320244,0.197200704,0.283022222,36.91315926,76.18343353,0.083537037,0.295160699,17.10659409,79.4,50.8,38.0,23.2,26.2,,,79.9,78.2,100.0,75.9,58.2,47.4,33.3,55.4,45.6,37.7,34.3,34.4,22.0,28.1,5.3,21.1,23.1,31.1,13.3,24.1,,,,,,,,,,,
1122,ice cream container,Packung Eiscreme,2,,,27,,,,,,,,,,,0.400802581,0.367490743,0.231706676,0.48627037,36.77186667,59.35229492,0.132555556,0.272596407,16.28787422,73.3,58.8,49.0,29.8,35.9,,,62.1,76.8,50.0,87.8,59.0,59.3,0.0,70.7,48.3,48.1,54.5,50.8,27.4,33.4,2.5,31.8,36.6,37.4,27.0,33.8,,,,,,,,,,,
1123,muffin backing pan,Muffin Backform,2,,,25,,,,,,,,,,,0.341502593,0.329950983,0.328546424,0.302166667,40.7877963,44.93426895,0.081851852,0.270883128,15.26798534,99.0,99.2,50.5,23.1,18.4,,,96.4,99.9,100.0,100.0,97.7,100.0,100.0,99.1,42.1,51.4,56.0,56.6,26.1,21.9,1.0,26.5,23.0,16.5,11.0,18.7,,,,,,,,,,,
1124,pizza box,Pizzakarton,2,,,27,,,,,,,,,,,0.538851406,0.274796205,0.186352389,0.52717037,60.23782222,69.39879608,0.174777778,0.331539456,17.82255173,97.2,93.2,48.2,34.9,29.3,,,97.2,95.6,100.0,100.0,97.2,91.9,75.0,100.0,57.0,51.7,10.8,45.1,45.4,32.8,2.3,41.3,28.4,27.9,23.6,38.0,,,,,,,,,,,
1125,Milka cow (trademark of chocolate company),Milka Kuh,2,,,27,,,,,,,,,,,0.31055667,0.280119784,0.409323547,0.321588889,34.01595926,74.27225494,0.109111111,0.339287565,16.13702011,96.2,95.6,48.2,28.3,36.0,,,93.3,96.1,100.0,100.0,93.3,94.5,100.0,100.0,48.4,57.3,11.0,40.0,31.1,32.9,7.3,20.4,31.7,36.4,52.8,38.2,,,,,,,,,,,
1126,burgerbag,Burgertüte,2,,,27,,,,,,,,,,,0.40592827,0.328054558,0.266017172,0.325381481,25.79000741,51.36640167,0.060555556,0.186106337,15.82526493,99.9,97.7,40.4,30.7,19.1,,,100.0,99.8,100.0,100.0,96.2,100.0,100.0,94.4,45.3,45.8,33.1,25.9,32.4,33.3,19.0,28.1,16.2,20.4,27.8,16.9,,,,,,,,,,,
1127,sacher box,Sacher-Verpackung,2,,,27,,,,,,,,,,,0.46271017,0.295797537,0.241492293,0.353259259,28.08038148,69.12239075,0.045222222,0.128014259,14.39993763,47.6,56.9,44.9,25.1,31.1,,,63.1,39.1,50.0,43.8,62.8,61.9,50.0,44.1,52.6,49.7,7.0,34.9,35.3,25.7,2.5,16.7,29.6,33.9,12.5,31.1,,,,,,,,,,,
1128,brown plant starter set,brauner Anpflanzgegenstand,2,,,24,,,,,,,,,,,0.327346904,0.33064652,0.342006577,0.444674074,87.55728889,44.85578156,0.112,0.251869867,14.98645115,77.6,76.2,41.1,13.9,27.0,,,87.1,73.1,100.0,65.1,74.2,78.3,100.0,63.4,38.3,47.1,37.7,30.8,12.9,17.6,14.3,5.0,21.3,30.1,26.3,27.7,,,,,,,,,,,
1129,screw and nuts ,Schrauben und Muttern ,2,,,23,,,,,,,,,,,0.450552194,0.348462151,0.200985655,0.421911111,43.75545556,72.45188904,0.142277778,0.337222164,17.85755348,97.8,99.5,41.2,15.7,41.7,,,100.0,99.8,100.0,90.9,97.9,100.0,100.0,100.0,37.3,41.9,40.3,44.5,14.5,11.6,19.7,24.2,24.7,45.5,53.5,49.6,,,,,,,,,,,
1130,screw and nuts ,Schrauben und Muttern ,2,,,23,,,,,,,,,,,0.437466427,0.362083681,0.200449892,0.337303704,32.67964444,53.01121521,0.101407407,0.300641251,16.96030998,99.9,98.9,41.5,13.9,25.4,,,100.0,99.6,100.0,100.0,96.4,99.8,100.0,100.0,45.5,38.7,45.2,39.3,17.7,11.5,20.8,10.5,28.1,25.4,12.6,26.5,,,,,,,,,,,
1131,tape ,Kleberollen ,2,,,23,,,,,,,,,,,0.356925065,0.340496831,0.302578104,0.227837037,13.83447407,29.57831192,0.041351852,0.181497497,14.50450325,92.2,96.6,43.4,15.9,21.6,,,95.9,89.7,83.3,95.4,95.9,95.2,100.0,98.8,44.6,44.0,25.7,46.6,13.2,18.3,15.3,14.6,18.7,24.6,15.5,21.2,,,,,,,,,,,
1132,tape ,Kleberolle ,2,,,23,,,,,,,,,,,0.600232171,0.204885594,0.194882235,0.234155556,30.3388,30.53391838,0.032314815,0.138005757,14.53299522,84.3,96.8,37.9,15.3,15.7,,,100.0,75.2,83.3,83.8,98.8,93.4,100.0,98.3,33.8,40.2,27.8,44.5,10.3,18.2,19.3,13.0,8.7,14.6,25.3,18.9,,,,,,,,,,,
1133,hammer ,Hammer ,2,,,23,,,,,,,,,,,0.528793578,0.261240964,0.209965458,0.207092593,22.52280741,73.4018631,0.065907407,0.318250917,15.81722927,92.8,85.3,38.9,17.2,26.1,,,100.0,92.6,50.0,93.8,77.3,88.7,100.0,84.1,35.2,39.6,57.0,37.7,23.3,15.3,25.0,11.6,26.6,23.2,29.0,32.1,,,,,,,,,,,
1134,hammer ,Hammer ,2,,,23,,,,,,,,,,,0.420897276,0.335747126,0.243355598,0.126051852,18.11633333,61.22882462,0.030962963,0.245636716,15.16746902,100.0,99.8,37.0,13.5,13.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,39.9,38.4,22.0,33.7,17.0,13.6,1.7,10.8,10.8,15.5,15.0,11.2,,,,,,,,,,,
1135,bucket ,Eimer ,2,,,24,,,,,,,,,,,0.305066603,0.339674585,0.355258813,0.409707407,40.95388148,46.87051773,0.080740741,0.197069273,15.57249451,93.5,95.7,38.0,10.8,12.9,,,90.0,92.2,100.0,98.1,87.5,97.2,100.0,100.0,30.0,40.0,48.0,39.1,9.3,13.4,9.0,7.2,10.2,14.3,4.2,15.6,,,,,,,,,,,
1136,pin cushion,Nadelkissen,2,,,24,,,,,,,,,,,0.473545377,0.343892993,0.18256163,0.293018519,24.81720741,53.12863159,0.074759259,0.25513493,17.40045547,86.4,94.3,35.6,16.9,38.8,,,85.3,87.8,100.0,83.2,97.7,96.3,100.0,85.1,35.1,36.3,16.5,38.4,17.2,15.6,17.5,18.7,34.5,46.4,7.5,37.1,,,,,,,,,,,
1137,lamb sockets,lampenfassungen,2,,,23,,,,,,,,,,,0.379083585,0.348753606,0.272162808,0.448011111,53.36048889,59.6968689,0.137425926,0.306746691,17.15150642,51.7,47.0,32.5,8.8,45.9,,,67.7,37.3,50.0,60.7,60.7,43.7,30.0,43.2,34.8,27.2,38.5,37.8,11.5,8.4,5.0,7.7,41.6,49.1,28.1,56.3,,,,,,,,,,,
1138,cog wheel,Zahnräder,2,,,23,,,,,,,,,,,0.313641289,0.33243478,0.353923931,0.226162963,20.74854444,59.97784805,0.080351852,0.355282982,17.03589439,62.4,64.1,34.5,14.1,41.5,,,57.0,68.3,60.0,57.8,65.4,66.2,60.0,60.1,35.2,35.9,34.6,30.3,11.1,18.1,5.1,14.5,32.6,43.4,45.0,47.4,,,,,,,,,,,
1139,screw,Schrauben,2,,,23,,,,,,,,,,,0.414553557,0.330859563,0.25458688,0.345796296,44.22678148,79.94004059,0.113388889,0.327906603,17.39548302,98.6,99.9,39.7,16.0,35.4,,,100.0,98.7,100.0,95.8,100.0,99.8,100.0,100.0,41.0,36.5,53.6,38.5,19.1,11.9,43.6,7.2,41.1,28.2,48.5,37.3,,,,,,,,,,,
1140,calculator ,Taschenrechner ,2,,,26,,,,,,,,,,,0.366930228,0.353816375,0.279253398,0.406537037,68.63192222,76.56395721,0.0845,0.207853141,16.58842659,100.0,100.0,45.3,19.8,49.1,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.0,44.3,46.5,44.8,26.5,20.8,12.0,13.5,40.2,52.1,76.0,48.5,,,,,,,,,,,
1141,"book, closed ","Buch, geschlossen ",2,,,24,,,,,,,,,,,0.18840346,0.323641502,0.487955038,0.389988889,64.93238519,60.56367493,0.040351852,0.103469235,16.58821487,97.5,99.6,65.4,39.8,42.7,,,98.1,96.1,100.0,100.0,98.1,100.0,100.0,100.0,63.6,63.5,65.0,72.1,44.8,30.9,53.0,55.0,43.8,40.2,1.0,52.9,,,,,,,,,,,
1142,stapler,Hefter,2,,,26,,,,,,,,,,,0.38385477,0.234571536,0.381573694,0.307151852,49.57258148,40.66347504,0.047685185,0.155249545,15.0201683,99.9,100.0,49.6,14.0,35.3,,,100.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,47.9,50.0,54.3,49.0,12.4,13.9,20.0,13.4,39.0,36.4,25.4,33.1,,,,,,,,,,,
